floor,area_unit,total_floors,area,price,offer_type,address,commercial_type,longitude,build_year,latitude,distance,traffic,already_taken,competitors
,SQUARE_METER,,280.0,472500.0,RENT,"Россия, Москва, 1-й Басманный переулок, 5/20с1",OFFICE,37.66316604614258,1927.0,55.77206802368164,3.6088604020859836,542,0,3
,SQUARE_METER,5.0,316.0,340100.0,RENT,"Россия, Москва, 1-й Басманный переулок, 5/20с1",OFFICE,37.66316604614258,1927.0,55.77206802368164,3.6088604020859836,542,0,2
,SQUARE_METER,6.0,160.0,250000.0,RENT,"Россия, Москва, 1-й Басманный переулок, 5/20с1",FREE_PURPOSE,37.66316604614258,1927.0,55.77206802368164,3.6088604020859836,542,0,1
1.0,SQUARE_METER,6.0,150.0,100000.0,RENT,"Россия, Москва, 1-й Басманный переулок, 5/20с1",FREE_PURPOSE,37.66316604614258,1927.0,55.77206802368164,3.6088604020859836,542,0,1
1.0,SQUARE_METER,,370.9,2700000.0,RENT,"Россия, Москва, 1-й Ботанический проезд, 5",RETAIL,37.63418960571289,2004.0,55.85163497924805,11.194814307494648,468,0,1
1.0,SQUARE_METER,,182.16,1366200.0,RENT,"Россия, Москва, 1-й Ботанический проезд, 5",RETAIL,37.63418960571289,2004.0,55.85163497924805,11.194814307494648,468,0,2
1.0,SQUARE_METER,,188.76,1415700.0,RENT,"Россия, Москва, 1-й Ботанический проезд, 5",RETAIL,37.63418960571289,2004.0,55.85163497924805,11.194814307494648,468,0,3
3.0,SQUARE_METER,6.0,500.0,104166.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",FREE_PURPOSE,37.62617492675781,,55.64796447753906,11.532388870274428,272,0,0
3.0,SQUARE_METER,3.0,120.0,125040.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",OFFICE,37.62617492675781,,55.64796447753906,11.532388870274428,272,0,1
1.0,SQUARE_METER,1.0,800.0,233333.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",WAREHOUSE,37.62617492675781,,55.64796447753906,11.532388870274428,272,0,1
3.0,SQUARE_METER,3.0,52.0,52000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",OFFICE,37.62617492675781,,55.64796447753906,11.532388870274428,272,1,0
2.0,SQUARE_METER,7.0,1500.0,312500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",FREE_PURPOSE,37.62617492675781,,55.64796447753906,11.532388870274428,272,1,3
3.0,SQUARE_METER,3.0,68.0,73667.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",OFFICE,37.62617492675781,,55.64796447753906,11.532388870274428,272,0,1
2.0,SQUARE_METER,2.0,117.0,119925.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1А",OFFICE,37.62617492675781,,55.64796447753906,11.532388870274428,272,0,3
2.0,SQUARE_METER,2.0,34.0,30000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1Ас9",OFFICE,37.62771224975586,,55.64822769165039,11.507414619588378,187,0,2
,SQUARE_METER,,400.0,253000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 1Ас9",WAREHOUSE,37.62771224975586,,55.64822769165039,11.507414619588378,187,0,3
6.0,SQUARE_METER,7.0,43.0,58500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с12",OFFICE,37.6251220703125,2009.0,55.64618682861328,11.727712736547437,483,1,2
1.0,SQUARE_METER,2.0,500.0,333333.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с26",FREE_PURPOSE,37.62528610229492,2001.0,55.6473503112793,11.598609857550034,306,0,1
3.0,SQUARE_METER,3.0,84.0,114000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,3
3.0,SQUARE_METER,4.0,732.0,1037000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,2
3.0,SQUARE_METER,4.0,700.0,845833.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,1,3
2.0,SQUARE_METER,3.0,54.0,73500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,2
2.0,SQUARE_METER,3.0,43.0,58500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,2
2.0,SQUARE_METER,3.0,84.0,114000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,3
3.0,SQUARE_METER,3.0,143.0,194000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,3
2.0,SQUARE_METER,3.0,49.0,66500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с6",OFFICE,37.62762451171875,2003.0,55.64675521850586,11.670897463379884,179,0,0
3.0,SQUARE_METER,5.0,138.0,184000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с8",OFFICE,37.62615966796875,1939.0,55.64668655395508,11.674515220453731,90,1,3
1.0,SQUARE_METER,5.0,138.0,187500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с8",OFFICE,37.62615966796875,1939.0,55.64668655395508,11.674515220453731,90,0,2
2.0,SQUARE_METER,5.0,94.0,127500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с8",OFFICE,37.62615966796875,1939.0,55.64668655395508,11.674515220453731,90,0,2
5.0,SQUARE_METER,5.0,95.0,129000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с8",OFFICE,37.62615966796875,1939.0,55.64668655395508,11.674515220453731,90,0,2
1.0,SQUARE_METER,5.0,94.0,127500.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 2с8",OFFICE,37.62615966796875,1939.0,55.64668655395508,11.674515220453731,90,0,3
,SQUARE_METER,,576.0,259000.0,RENT,"Россия, Москва, 1-й Варшавский проезд, 6",WAREHOUSE,37.63059997558594,1976.0,55.64705276489258,11.648236449075599,459,0,3
4.0,SQUARE_METER,5.0,1233.0,976125.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с6",OFFICE,37.78755187988281,1966.0,55.72545623779297,10.988826418022995,275,1,0
1.0,SQUARE_METER,5.0,19.89,19900.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с6",OFFICE,37.78755187988281,1966.0,55.72545623779297,10.988826418022995,275,0,2
1.0,SQUARE_METER,5.0,172.8,147317.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с6",OFFICE,37.78755187988281,1966.0,55.72545623779297,10.988826418022995,275,1,3
1.0,SQUARE_METER,5.0,25.2,25200.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с6",OFFICE,37.78755187988281,1966.0,55.72545623779297,10.988826418022995,275,1,3
1.0,SQUARE_METER,5.0,152.9,127417.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с6",OFFICE,37.78755187988281,1966.0,55.72545623779297,10.988826418022995,275,1,0
1.0,SQUARE_METER,5.0,538.4,471100.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с6",OFFICE,37.78755187988281,1966.0,55.72545623779297,10.988826418022995,275,1,3
,SQUARE_METER,,538.0,470750.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",FREE_PURPOSE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,3
3.0,SQUARE_METER,6.0,37.2,33170.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,3
,SQUARE_METER,,188.0,167633.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,1
,SQUARE_METER,,550.0,490416.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,1
,SQUARE_METER,,30.0,25250.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,3
,SQUARE_METER,,544.0,485066.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,2
3.0,SQUARE_METER,5.0,35.7,35700.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,3
1.0,SQUARE_METER,5.0,538.0,484560.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,0
,SQUARE_METER,,153.0,127500.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",FREE_PURPOSE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,0
3.0,SQUARE_METER,,49.0,49000.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,2
3.0,SQUARE_METER,,49.0,49000.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,0
,SQUARE_METER,,236.0,210433.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,0
,SQUARE_METER,,1419.0,1182500.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,1
4.0,SQUARE_METER,5.0,1060.0,954000.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,0
,SQUARE_METER,,224.0,199733.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,0
1.0,SQUARE_METER,6.0,11.4,10450.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,1
1.0,SQUARE_METER,5.0,198.0,178110.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,1,2
,SQUARE_METER,,173.0,158583.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,2
,SQUARE_METER,,1060.0,945166.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,1
,SQUARE_METER,,1233.0,976125.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,3
,SQUARE_METER,,183.0,163175.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,0
3.0,SQUARE_METER,5.0,49.0,49000.0,RENT,"Россия, Москва, 1-й Вешняковский проезд, 1с7",OFFICE,37.785133361816406,,55.72605514526367,10.824659932472048,350,0,1
